"Statistic","Yearly Age","Sex","Marital Status","Year","Unit","Value"
"Population","73 years","Both sexes","All marital status","2016","Number","30,219"
"Population","74 years","Both sexes","All marital status","2016","Number","27,190"
"Population","75 years","Both sexes","All marital status","2016","Number","25,449"
"Population","76 years","Both sexes","All marital status","2016","Number","24,710"
"Population","77 years","Both sexes","All marital status","2016","Number","23,342"
"Population","78 years","Both sexes","All marital status","2016","Number","21,489"
"Population","79 years","Both sexes","All marital status","2016","Number","20,477"
"Population","80 years","Both sexes","All marital status","2016","Number","19,287"
"Population","81 years","Both sexes","All marital status","2016","Number","17,821"
"Population","82 years","Both sexes","All marital status","2016","Number","16,339"
"Population","83 years","Both sexes","All marital status","2016","Number","14,484"
"Population","84 years","Both sexes","All marital status","2016","Number","13,106"
"Population","85 years","Both sexes","All marital status","2016","Number","11,947"
"Population","86 years","Both sexes","All marital status","2016","Number","10,331"
"Population","87 years","Both sexes","All marital status","2016","Number","8,785"
"Population","88 years","Both sexes","All marital status","2016","Number","7,378"
"Population","89 years","Both sexes","All marital status","2016","Number","6,421"
"Population","90 years","Both sexes","All marital status","2016","Number","5,378"
"Population","91 years","Both sexes","All marital status","2016","Number","4,378"
"Population","92 years","Both sexes","All marital status","2016","Number","3,418"
"Population","93 years","Both sexes","All marital status","2016","Number","2,733"
"Population","94 years","Both sexes","All marital status","2016","Number","2,067"
"Population","95 years","Both sexes","All marital status","2016","Number","1,551"
"Population","96 years","Both sexes","All marital status","2016","Number","1,210"
"Population","97 years","Both sexes","All marital status","2016","Number","734"
"Population","98 years","Both sexes","All marital status","2016","Number","450"
"Population","99 years","Both sexes","All marital status","2016","Number","318"
"Population","Under 15 years","Both sexes","All marital status","2016","Number","1,068,195"
"Population","15 years and over","Both sexes","All marital status","2016","Number","3,755,313"
"Population","100 years and over","Both sexes","All marital status","2016","Number","456"
"Population","All ages","Both sexes","All marital status","2016","Number","4,761,865"
